"GEOID","pop_female","pop_male","pop_asian","pop_black","pop_hispanic","pop_native","pop_other","pop_white","pop_65_74","pop_75_84","pop_85_pl","pop25_w_bach","tot_pop25","pct_w_bach","median_hh_inc","hh_below_pl","tot_hh","pct_hh_below_pl"
"370630017051",177,131,8,38,10,1,0,251,155,104,49,609,752,0.809840425531915,142994,6,440,0.0136363636363636
"370630017052",81,47,2,53,2,0,1,70,88,30,10,321,696,0.461206896551724,57524,100,580,0.172413793103448
"370630017053",102,61,1,31,12,1,7,111,86,51,26,121,516,0.234496124031008,32069,61,380,0.160526315789474
"370630017054",122,78,3,45,6,0,2,144,117,66,17,317,721,0.439667128987517,92454,32,373,0.0857908847184987
"370630017055",115,95,5,47,7,0,1,150,138,46,26,189,1024,0.1845703125,45526,98,552,0.177536231884058
"370630017061",157,101,8,45,11,0,9,185,179,62,17,963,1208,0.797185430463576,50444,28,963,0.0290758047767394
"370630017062",21,39,0,25,4,1,4,26,45,4,11,311,773,0.402328589909444,32268,69,693,0.0995670995670996
"370630017063",72,44,2,25,4,1,2,82,86,23,7,595,620,0.959677419354839,70840,31,351,0.0883190883190883
"370630017064",70,65,8,27,7,2,0,91,112,19,4,839,909,0.922992299229923,97412,47,495,0.094949494949495
"370630017081",122,75,2,176,8,0,4,7,134,54,9,224,449,0.498886414253898,52232,22,275,0.08
"370630017082",84,59,3,111,6,1,2,20,81,43,19,432,1270,0.340157480314961,90869,14,693,0.0202020202020202
"370630017083",175,101,0,199,9,1,2,65,162,95,19,153,652,0.234662576687117,NA,98,494,0.198380566801619
"370630017084",78,42,4,83,2,0,3,28,76,35,9,259,858,0.301864801864802,75729,48,443,0.108352144469526
"370630017091",82,62,0,115,11,0,3,15,102,27,15,73,734,0.0994550408719346,50544,82,353,0.232294617563739
"370630017092",89,59,0,135,4,0,2,7,101,37,10,90,780,0.115384615384615,34609,19,433,0.0438799076212471
"370630017093",47,28,1,57,4,0,5,8,47,22,6,116,527,0.22011385199241,30579,135,385,0.350649350649351
"370630017094",51,32,3,67,2,1,1,9,64,9,10,57,403,0.141439205955335,37391,135,312,0.432692307692308
"370630017095",246,128,5,186,6,1,7,169,155,116,103,398,1414,0.281471004243281,43780,62,780,0.0794871794871795
"370630017096",84,38,7,74,3,2,6,30,95,20,7,239,680,0.351470588235294,25058,240,374,0.641711229946524
"370630017097",61,48,2,83,3,3,5,13,70,35,4,27,195,0.138461538461538,25457,29,191,0.151832460732984
"370630017101",103,63,9,80,6,0,6,65,113,32,21,223,671,0.332339791356185,67188,85,493,0.172413793103448
"370630017102",92,59,6,57,9,0,2,77,105,34,12,475,1550,0.306451612903226,61750,52,772,0.0673575129533679
"370630017103",135,73,1,76,5,0,3,123,110,72,26,208,669,0.310911808669656,44844,41,461,0.0889370932754881
"370630017111",125,74,2,63,20,0,7,107,130,55,14,266,1268,0.209779179810726,34590,159,851,0.186839012925969
"370630017112",109,56,3,74,6,1,10,71,126,29,10,312,914,0.341356673960613,32025,120,728,0.164835164835165
"370630017113",64,36,12,31,4,0,1,52,56,37,7,278,945,0.294179894179894,92500,33,692,0.0476878612716763
"370630017121",470,271,13,6,3,0,2,717,146,293,302,581,806,0.720843672456576,76771,13,395,0.0329113924050633
"370630017122",177,148,22,26,1,0,2,274,173,118,34,939,1046,0.897705544933078,91146,102,774,0.131782945736434
"370630017123",135,107,4,15,3,0,5,215,132,71,39,648,908,0.713656387665198,NA,84,511,0.164383561643836
"370630017124",97,85,3,22,0,0,6,151,123,38,21,650,939,0.692225772097977,111538,30,464,0.0646551724137931
"370630017131",163,134,6,16,6,0,3,266,188,81,28,331,680,0.486764705882353,115625,0,390,0
"370630017132",90,74,9,7,5,0,1,142,120,29,15,343,444,0.772522522522523,121953,0,188,0
"370630017133",148,124,0,16,4,0,5,247,184,70,18,572,867,0.659746251441753,122273,0,440,0
"370630017134",66,56,4,6,1,0,2,109,68,43,11,255,570,0.447368421052632,49297,0,309,0
"370630018011",70,46,0,41,12,0,2,61,71,28,17,178,1586,0.112232030264817,52273,155,576,0.269097222222222
"370630018012",42,36,1,37,10,1,1,28,51,23,4,165,741,0.222672064777328,48036,109,372,0.293010752688172
"370630018013",78,59,3,27,7,0,3,97,83,41,13,179,591,0.302876480541455,78324,16,274,0.0583941605839416
"370630018014",64,36,0,36,4,0,3,57,63,31,6,80,126,0.634920634920635,84323,0,73,0
"370630018015",44,34,0,60,3,0,0,15,47,24,7,366,612,0.598039215686274,67000,46,348,0.132183908045977
"370630018016",95,70,5,50,11,0,3,96,97,51,17,113,857,0.131855309218203,44250,68,608,0.111842105263158
"370630018017",175,133,2,166,16,1,1,122,202,79,27,365,1605,0.227414330218069,35313,177,868,0.203917050691244
"370630018021",77,59,4,81,22,2,3,24,103,23,10,32,722,0.0443213296398892,25742,272,557,0.488330341113106
"370630018022",159,120,2,164,22,3,5,83,212,57,10,150,1803,0.0831946755407654,49745,161,973,0.165467625899281
